id,order,name,title,company,photoUrl,featured
vincent,1,Vincent Niu,CEO,Dapp Review,https://croink2019.firebaseapp.com/images/people/liam_horne.png,TRUE
tina,2,Tina Zhen,Coordinator,YellowHat DAO,https://croink2019.firebaseapp.com/images/people/liam_horne.png,TRUE
illia,3,Illia Polosukhin,Co-Founder,Near Protocol,https://croink2019.firebaseapp.com/images/people/liam_horne.png,TRUE
