id,order,name,title,company,photoUrl,featured
near,1,Near Protocol,,,static/near.png,FALSE
daosquare,1,DAO Square,,,https://ssimg.frontenduse.top/avatar/2020/02/19/998392f4a28ec5e0aeb64a9e695260e7.png,FALSE
daofest,1,DAO Fest,,,https://assets.website-files.com/5cf656bb29dfdac145d337e0/5cf656bb29dfdafd38d3381a_DAOfest%20id1Artboard%2011set1Transp.png,FALSE
indielight,1,Indie Light,,,static/indielight.png,FALSE
meta,1,Meta Cartle,,,https://www.ethdenver.com/wp-content/uploads/2020/02/meta_chillcopy.png,FALSE
